X,Y,标注类别名称,预测类别,图像路径
-9.957249,1.595451,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\12.jpeg
-10.543263,1.467422,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\18.jpeg
-8.84498,2.05784,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\20.jpg
-8.64698,4.0565534,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\25.jpg
-7.8861113,2.1567795,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\33.jpg
-9.850334,2.2419167,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\34.jpeg
-8.994058,3.6225066,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\44.jpg
-8.820861,3.8885195,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\50.jpg
-9.927236,3.3661613,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\57.jpg
-9.5433035,2.8286436,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\6.jpg
-9.95945,3.127105,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\63.jpg
-9.757096,1.5427687,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\7.jpg
-9.398187,2.4305847,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\72.jpg
-10.230985,2.1716065,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\81.jpg
-10.541089,2.546887,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\91.jpg
-8.506702,3.0994573,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\96.jpg
2.011908,-3.2684026,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\100.jpg
-2.7617595,-8.532721,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\21.jpg
-2.530935,-8.143426,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\27.jpg
-1.6469712,-8.270398,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\28.jpg
