X,Y,Z,标注类别名称,预测类别,图像路径
1.096372,-7.2237005,-12.233178,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\12.jpeg
-0.29375896,-6.553673,-13.003092,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\18.jpeg
2.0579946,-7.140362,-10.280417,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\20.jpg
0.51168334,-4.310308,-7.3933744,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\25.jpg
3.0347807,-5.6661944,-9.785183,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\33.jpg
-0.3644079,-6.935003,-11.075012,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\34.jpeg
-0.35519856,-5.3564777,-8.174928,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\44.jpg
0.107384264,-4.3075643,-8.4628725,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\50.jpg
-1.7548646,-5.6504526,-9.420234,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\57.jpg
0.37747765,-6.1287913,-9.74782,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\6.jpg
-0.91892517,-6.9412475,-9.169179,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\63.jpg
0.6618276,-8.289251,-11.742428,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\7.jpg
0.44644192,-8.083151,-9.806826,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\72.jpg
0.75794977,-5.6344433,-11.547048,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\81.jpg
-0.6473117,-4.937192,-11.144321,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\91.jpg
1.0343246,-6.4554806,-8.01542,兔子,兔子,E:\Image classification\1-Build a dataset\dataset\val\兔子\96.jpg
-1.3921252,0.8953164,-1.1132371,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\100.jpg
-8.912057,-3.487594,-0.40673906,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\21.jpg
-7.5465603,-2.5750668,0.75319207,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\27.jpg
-7.6843376,-0.8640101,0.8349092,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\28.jpg
-8.189871,-2.906831,2.6163433,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\3.jpg
-9.226776,-1.8645424,-0.088609144,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\31.jpg
-8.957798,-1.8132772,1.4049298,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\49.jpg
-8.337173,-3.9852684,1.3495394,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\55.jpg
-7.4251733,-3.9096887,-0.11568261,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\56.jpg
-9.586066,-3.083655,0.940231,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\58.jpg
-5.8062077,-2.8262699,1.6478055,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\63.jpg
-6.725432,-5.2635326,-1.6196069,刺猬,毛毛虫,E:\Image classification\1-Build a dataset\dataset\val\刺猬\72.jpg
-4.765368,-2.2666411,-0.06186932,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\74.jpg
-7.0937304,3.4909027,-3.6295526,刺猬,小浣熊,E:\Image classification\1-Build a dataset\dataset\val\刺猬\75.png
-7.6214485,-2.0924726,-0.92258996,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\77.jpg
-10.065414,-2.8378978,2.9070404,刺猬,刺猬,E:\Image classification\1-Build a dataset\dataset\val\刺猬\81.jpg
-10.81119,-5.558392,-11.234302,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\12.jpg
-9.259671,-6.349967,-9.612945,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\14.jpg
-9.066089,-4.56134,-9.607784,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\19.jpg
-12.567681,-5.047084,-11.284152,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\22.jpeg
-9.849103,-8.679461,-9.344768,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\35.jpg
-11.80974,-6.5667973,-12.186291,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\39.jpg
-9.609991,-8.826496,-7.801386,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\42.jpg
-12.161236,-6.3613734,-10.155028,啄木鸟,啄木鸟,E:\Image classification\1-Build a dataset\dataset\val\啄木鸟\44.jpg
