类别,precision,recall,f1-score,support,accuracy,AP,AUC
兔子,0.7619047619047619,1.0,0.8648648648648649,16.0,1.0,1.0,1.0
刺猬,0.9333333333333332,0.875,0.9032258064516128,16.0,0.875,0.9616815476190476,0.9986979166666666
啄木鸟,0.8888888888888888,1.0,0.9411764705882352,16.0,1.0,0.9722639696904404,0.999240451388889
大猩猩,0.9375,0.9375,0.9375,16.0,0.9375,0.988250612745098,0.9996744791666666
大象,0.7631578947368421,0.90625,0.8285714285714286,32.0,0.90625,0.9393283660679164,0.9938616071428571
天鹅,1.0,0.9375,0.967741935483871,16.0,0.9375,0.9930555555555556,0.9997829861111112
小浣熊,0.8235294117647058,0.875,0.8484848484848485,16.0,0.875,0.8960754514571787,0.979275173611111
斑马,0.8823529411764706,0.9375,0.9090909090909092,16.0,0.9375,0.9261074862637364,0.9830729166666667
昆虫,1.0,0.9375,0.967741935483871,16.0,0.9375,1.0,1.0
松鼠,1.0,0.875,0.9333333333333332,16.0,0.875,0.9457644628099172,0.9886067708333334
树袋熊,0.8421052631578947,1.0,0.9142857142857144,16.0,1.0,1.0,1.0
梅花鹿,0.875,0.875,0.875,16.0,0.875,0.8830018593835007,0.9906684027777778
毛毛虫,0.75,0.75,0.75,16.0,0.75,0.8405548539345808,0.9402126736111112
水母,0.8823529411764706,0.9375,0.9090909090909092,16.0,0.9375,0.9599095394736842,0.9975043402777778
河马,1.0,1.0,1.0,16.0,1.0,1.0,1.0
海豚,0.7647058823529411,0.8125,0.7878787878787878,16.0,0.8125,0.9142202227120706,0.9965277777777778
海豹,1.0,0.6875,0.8148148148148148,16.0,0.6875,0.8834168548842461,0.9745008680555556
海马,0.875,0.875,0.875,16.0,0.875,0.9185857283222796,0.9624565972222223
火烈鸟,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,0.9924172794117648,0.999782986111111
火鸡,0.8421052631578947,1.0,0.9142857142857144,16.0,1.0,0.9757106608669108,0.9993489583333334
灰狼,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,1.0,1.0
熊,0.7333333333333333,0.6875,0.7096774193548387,16.0,0.6875,0.6778317809260155,0.9454210069444444
熊猫,0.9411764705882352,1.0,0.9696969696969696,16.0,1.0,0.8787779673349525,0.9983723958333333
蝙蝠,0.7894736842105263,0.9375,0.8571428571428571,16.0,0.9375,0.919264953796204,0.990234375
金鱼,1.0,1.0,1.0,16.0,1.0,1.0,1.0
霍加狓,1.0,0.8125,0.896551724137931,16.0,0.8125,0.8540252823617485,0.9514973958333333
马,0.7894736842105263,0.9375,0.8571428571428571,16.0,0.9375,0.8721611265196791,0.9950086805555556
驴,0.8571428571428571,0.75,0.8,16.0,0.75,0.7848964731440807,0.9338107638888888
鬓狗,0.8,0.5,0.6153846153846154,16.0,0.5,0.6465814773140977,0.9435763888888888
鲨鱼,0.9166666666666666,0.6875,0.7857142857142857,16.0,0.6875,0.8708030065172923,0.9778645833333334
鲸鱼,0.75,0.75,0.75,16.0,0.75,0.8565798920578332,0.995334201388889
鸽子,0.9230769230769232,0.75,0.8275862068965517,16.0,0.75,0.8769870309812351,0.9931640625
鹅,0.8,0.5,0.6153846153846154,16.0,0.5,0.6863814630346894,0.9471571180555556
鹦鹉,0.8,1.0,0.8888888888888888,16.0,1.0,0.9901315789473684,0.9996744791666666
鹬,0.9375,0.9375,0.9375,16.0,0.9375,0.985702614379085,0.9995659722222222
麋鹿,0.7333333333333333,0.6875,0.7096774193548387,16.0,0.6875,0.6115835309542729,0.9573567708333333
macro avg,0.8743185132052522,0.8654513888888888,0.8639397019778363,592.0,0.8654513888888888,0.9028347952629578,0.9842014750055115
weighted avg,0.8713141721655654,0.8665540540540541,0.862983802696582,592.0,0.8665540540540541,0.9038211079874162,0.984462559657872
