图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,兔子-预测置信度,刺猬-预测置信度,啄木鸟-预测置信度,大猩猩-预测置信度,大象-预测置信度,天鹅-预测置信度,小浣熊-预测置信度,斑马-预测置信度,昆虫-预测置信度,松鼠-预测置信度,树袋熊-预测置信度,梅花鹿-预测置信度,毛毛虫-预测置信度,水母-预测置信度,河马-预测置信度,海豚-预测置信度,海豹-预测置信度,海马-预测置信度,火烈鸟-预测置信度,火鸡-预测置信度,灰狼-预测置信度,熊-预测置信度,熊猫-预测置信度,蝙蝠-预测置信度,金鱼-预测置信度,霍加狓-预测置信度,马-预测置信度,驴-预测置信度,鬓狗-预测置信度,鲨鱼-预测置信度,鲸鱼-预测置信度,鸽子-预测置信度,鹅-预测置信度,鹦鹉-预测置信度,鹬-预测置信度,麋鹿-预测置信度,图像路径,标注类别ID
E:\Image classification\1-Build a dataset\dataset\val\兔子\12.jpeg,0,兔子,0,兔子,19,火鸡,27,驴,True,0.9767953157424927,0.0006531174294650555,0.0013610771857202053,0.0003976506704930216,0.0004194368375465274,0.0004960901569575071,0.00044934358447790146,0.0008742735954001546,0.0002936998207587749,0.0006020338041707873,0.0004488859267439693,0.0004888841067440808,0.00031157833291217685,0.00041572493501007557,0.0006430745706893504,0.0011397289345040917,0.00018033028754871339,0.0006161187775433064,0.0005874307244084775,0.002087637083604932,0.0010130885057151318,0.00030006031738594174,0.000819824228528887,0.0006773381028324366,0.0005886362050659955,0.0008442163234576583,0.0005704813520424068,0.0015530039090663195,0.0002748219121713191,0.00033505543251521885,0.0006712976610288024,0.00022377325512934476,0.000574447913095355,0.0004218376998323947,0.0011778040789067745,0.0006928719230927527,E:\Image classification\1-Build a dataset\dataset\val\兔子\12.jpeg,0
E:\Image classification\1-Build a dataset\dataset\val\兔子\18.jpeg,0,兔子,0,兔子,32,鹅,19,火鸡,True,0.8521838188171387,0.002910949056968093,0.0032932565081864595,0.0018026430625468493,0.0024244990199804306,0.0020594752859324217,0.003195335855707526,0.0032304232008755207,0.0022209775634109974,0.003484714077785611,0.0029337306041270494,0.0063940975815057755,0.002053100848570466,0.0013760082656517625,0.003874539863318205,0.005583377089351416,0.0007092434680089355,0.002428518608212471,0.003980800975114107,0.008712674491107464,0.003525188658386469,0.003918906673789024,0.007148828823119402,0.006389507558196783,0.005558867938816547,0.005473586264997721,0.0029097094666212797,0.008396314457058907,0.002420359291136265,0.003732625860720873,0.0035186626482754946,0.0028051994740962982,0.017039138823747635,0.0019699789118021727,0.005170710850507021,0.005170287098735571,E:\Image classification\1-Build a dataset\dataset\val\兔子\18.jpeg,0
E:\Image classification\1-Build a dataset\dataset\val\兔子\20.jpg,0,兔子,0,兔子,16,海豹,27,驴,True,0.9800139665603638,0.0005452008917927742,0.0006541009643115103,0.0003941251488868147,0.00034428489743731916,0.0002741213538683951,0.0004365887143649161,0.00048566257464699447,0.00018068499048240483,0.0008382771047763526,0.0006901749293319881,0.00013578326615970582,0.00028221370303072035,0.0005927936872467399,0.0002781408547889441,0.0006337584927678108,0.0013264461886137724,0.0005992710939608514,0.0003109482931904495,0.0009340377291664481,0.00030572048854082823,0.0003283945843577385,0.0003199025522917509,0.0007199960527941585,0.00041819128091447055,0.0004088460700586438,0.000750059902202338,0.0012167738750576973,0.0006024067988619208,0.0008266120566986501,0.0005377907655201852,0.0003861266595777124,0.0003974852152168751,0.0010120375081896782,0.0010129165602847934,0.0008062016568146646,E:\Image classification\1-Build a dataset\dataset\val\兔子\20.jpg,0
E:\Image classification\1-Build a dataset\dataset\val\兔子\25.jpg,0,兔子,0,兔子,16,海豹,12,毛毛虫,True,0.5428367257118225,0.007580396719276905,0.008601538836956024,0.004458666313439608,0.004494887311011553,0.010590226389467716,0.006293170619755983,0.011058654636144638,0.005045577418059111,0.01567673869431019,0.013826495967805386,0.004119568504393101,0.02431757189333439,0.005742976441979408,0.004499415867030621,0.008506876416504383,0.15647456049919128,0.010638880543410778,0.0049322606064379215,0.015936952084302902,0.011778566054999828,0.0028214873746037483,0.004226503428071737,0.01598716713488102,0.003914063796401024,0.010113713331520557,0.005889419466257095,0.007320594508200884,0.010367229580879211,0.0041938526555895805,0.004814564250409603,0.0030380503740161657,0.005138192791491747,0.0183677040040493,0.014395779930055141,0.012000968679785728,E:\Image classification\1-Build a dataset\dataset\val\兔子\25.jpg,0
E:\Image classification\1-Build a dataset\dataset\val\兔子\33.jpg,0,兔子,0,兔子,10,树袋熊,34,鹬,True,0.459102064371109,0.011928793974220753,0.004692767281085253,0.002031444339081645,0.0018143184715881944,0.0016282944707199931,0.0038998262025415897,0.007998131215572357,0.0015499260043725371,0.004543346352875233,0.37834566831588745,0.0013761972077190876,0.0016140221850946546,0.002578925807029009,0.002936234464868903,0.002018992556259036,0.00940959807485342,0.0027739976067095995,0.0026368838734924793,0.008286119438707829,0.003275100374594331,0.0038129412569105625,0.0023939048405736685,0.0019946314860135317,0.0024683293886482716,0.003014412708580494,0.0019035303266718984,0.012000653892755508,0.005716478452086449,0.013041902333498001,0.00292338733561337,0.002834037411957979,0.005724809132516384,0.005164757836610079,0.01697371155023575,0.005591863766312599,E:\Image classification\1-Build a dataset\dataset\val\兔子\33.jpg,0
E:\Image classification\1-Build a dataset\dataset\val\兔子\34.jpeg,0,兔子,0,兔子,19,火鸡,23,蝙蝠,True,0.8755541443824768,0.0035202852450311184,0.005346318706870079,0.0034820891451090574,0.003075671149417758,0.0024295980110764503,0.003796572797000408,0.002773076994344592,0.0016067341202870011,0.0032661042641848326,0.004737588111311197,0.0030577401630580425,0.0016884948126971722,0.0016645301366224885,0.002903651213273406,0.003755324985831976,0.0015630410052835941,0.0033464974258095026,0.0015936092240735888,0.007617591880261898,0.0028538808692246675,0.006068303249776363,0.0033827254083007574,0.006391036324203014,0.0031054143328219652,0.003083801129832864,0.002158466959372163,0.004733211360871792,0.0015079459408298135,0.0026582847349345684,0.004179619252681732,0.002602875465527177,0.004276630934327841,0.0055824206210672855,0.005586154293268919,0.005050651263445616,E:\Image classification\1-Build a dataset\dataset\val\兔子\34.jpeg,0
E:\Image classification\1-Build a dataset\dataset\val\兔子\44.jpg,0,兔子,0,兔子,16,海豹,27,驴,True,0.7254467606544495,0.005885568913072348,0.008074610494077206,0.007325731683522463,0.007541179191321135,0.0059616598300635815,0.006074751261621714,0.008965007029473782,0.005934709217399359,0.01438257284462452,0.005230326671153307,0.0032151127234101295,0.014201478101313114,0.007565116044133902,0.006526696030050516,0.006155530456453562,0.0236634723842144,0.009767255745828152,0.004814682528376579,0.008538970723748207,0.0035290520172566175,0.009748435579240322,0.00427649263292551,0.006943517830222845,0.008412404917180538,0.006768655497580767,0.005257785320281982,0.015334948897361755,0.004831627476960421,0.004603732842952013,0.004050170071423054,0.003374985884875059,0.003840386401861906,0.011406944133341312,0.014239108189940453,0.008110552094876766,E:\Image classification\1-Build a dataset\dataset\val\兔子\44.jpg,0
E:\Image classification\1-Build a dataset\dataset\val\兔子\50.jpg,0,兔子,0,兔子,16,海豹,34,鹬,True,0.7236214280128479,0.003682207316160202,0.006691688671708107,0.004987423773854971,0.004250839818269014,0.007214893586933613,0.002384701743721962,0.00748999509960413,0.00533679686486721,0.009792361408472061,0.004753036890178919,0.006940867751836777,0.0161292664706707,0.004468475468456745,0.004938251338899136,0.008618136867880821,0.05484602972865105,0.0135536203160882,0.004118965473026037,0.006848087999969721,0.0030247096437960863,0.006514720153063536,0.0016734334640204906,0.006967634428292513,0.004100729711353779,0.005652677733451128,0.006850263103842735,0.005667319521307945,0.004866589792072773,0.003877721494063735,0.0043196710757911205,0.0028537567704916,0.0041680410504341125,0.007996794767677784,0.017906542867422104,0.012892290018498898,E:\Image classification\1-Build a dataset\dataset\val\兔子\50.jpg,0
E:\Image classification\1-Build a dataset\dataset\val\兔子\57.jpg,0,兔子,0,兔子,33,鹦鹉,17,海马,True,0.6291878819465637,0.0036414891947060823,0.008008511736989021,0.00854182243347168,0.008719448931515217,0.008138907141983509,0.007229742594063282,0.013662822544574738,0.006308305077254772,0.007504777051508427,0.004490918014198542,0.009723056107759476,0.007260641548782587,0.0067879450507462025,0.00824709516018629,0.01088724471628666,0.005364307202398777,0.01960921101272106,0.007476933300495148,0.009965228848159313,0.006961911916732788,0.01707877777516842,0.010891450569033623,0.008647414855659008,0.006126671563833952,0.014517340809106827,0.0071657742373645306,0.007204599212855101,0.00453920615836978,0.008467201143503189,0.007143891416490078,0.007689095102250576,0.009482286870479584,0.06451059132814407,0.015578045509755611,0.013239484280347824,E:\Image classification\1-Build a dataset\dataset\val\兔子\57.jpg,0
E:\Image classification\1-Build a dataset\dataset\val\兔子\6.jpg,0,兔子,0,兔子,33,鹦鹉,9,松鼠,True,0.88460373878479,0.00574849359691143,0.003103662747889757,0.0032193874940276146,0.0015332737239077687,0.001802289392799139,0.004670765716582537,0.0025619592051953077,0.0021136044524610043,0.0064413174986839294,0.0018567678052932024,0.0031125254463404417,0.006245139986276627,0.0029802178032696247,0.0025872846599668264,0.0026594202499836683,0.002354622120037675,0.004896922968327999,0.0023755396250635386,0.0037420056760311127,0.0019747891929000616,0.005233596079051495,0.0022948605474084616,0.0018688985146582127,0.002240442205220461,0.002640324179083109,0.0024848217144608498,0.0026109437458217144,0.0020587246399372816,0.002005926799029112,0.0028045352082699537,0.002248642733320594,0.005187881179153919,0.008533782325685024,0.004238554276525974,0.0029642991721630096,E:\Image classification\1-Build a dataset\dataset\val\兔子\6.jpg,0
